,0
1_6_542,506.1392463621192
1_12_759,102.69602888086641
1_17_382,231.96468657696093
1_12_539,119.01176367162354
1_17_539,403.1855186061398
1_12_198,281.58456239881485
1_6_704,102.69602888086641
1_6_124,307.5462697578914
1_6_857,22.35018050541516
1_12_808,22.35018050541516
24_6_1170,238.9461255873248
24_6_301,175.26338945076583
1_17_354,231.96468657696093
1_12_394,231.96468657696093
1_12_867,22.35018050541516
1_6_891,216.09774536710438
1_6_302,202.69950497665687
24_17_654,22.35018050541516
24_12_178,323.49483307991665
1_6_813,659.6605498449871
24_17_565,676.7237987663525
24_17_25,270.21405518076233
24_6_1203,231.96468657696093
24_17_230,371.4923198761746
1_12_303,233.91634136607942
1_17_1096,692.8713174610798
1_17_540,617.9398259919673
24_6_968,690.4555960837786
1_12_564,642.7574027533308
24_6_822,659.6605498449871
1_17_678,237.1274835910209
24_12_100,332.71120136130503
24_17_550,440.04037437408454
1_12_691,485.769164566767
1_17_574,145.5322128185898
1_6_201,331.6149231344408
1_12_615,174.24670334835568
24_17_657,74.7538070233016
1_6_853,222.69202263275957
24_6_182,290.10879162989585
1_17_432,257.4989647154767
1_6_992,222.69202263275957
24_17_115,337.27765419978005
24_12_134,340.87857561538283
1_6_1037,207.65069590109246
1_12_1073,202.69950497665684
24_12_355,222.69202263275957
1_12_118,305.93959515453093
1_12_934,266.5919284125214
1_17_407,194.52023330309515
