name,min_time,max_time,delta
1_12_1073,1075,2395,1320
1_12_1152,1155,2395,1240
1_12_118,120,540,420
1_12_1266,1270,2395,1125
1_12_198,200,660,460
1_12_303,305,785,480
1_12_394,395,825,430
1_12_539,540,1020,480
1_12_564,565,1110,545
1_12_615,620,1335,715
1_12_691,695,1350,655
1_12_759,760,1560,800
1_12_808,810,1980,1170
1_12_867,870,2040,1170
1_12_934,935,2395,1460
1_17_1096,1100,2395,1295
1_17_1155,1160,2395,1235
1_17_354,355,850,495
1_17_382,385,875,490
1_17_407,410,990,580
1_17_432,435,1000,565
1_17_539,540,1150,610
1_17_540,545,1160,615
1_17_574,575,1210,635
1_17_678,680,1400,720
1_6_1037,1040,2395,1355
1_6_1114,1115,2395,1280
1_6_124,125,615,490
1_6_201,205,735,530
1_6_302,305,850,545
1_6_542,545,1170,625
1_6_704,705,1575,870
1_6_813,815,2055,1240
1_6_853,855,2065,1210
1_6_857,860,2070,1210
1_6_891,895,2115,1220
1_6_992,995,2395,1400
1_6_994,995,2395,1400
24_12_100,105,670,565
24_12_1028,1030,2395,1365
24_12_134,135,725,590
24_12_178,180,730,550
24_12_355,360,1650,1290
24_12_975,980,2395,1415
24_17_115,120,775,655
24_17_1207,1210,2395,1185
24_17_230,235,1095,860
24_17_25,30,355,325
24_17_550,555,2395,1840
24_17_565,570,2395,1825
24_17_654,655,2395,1740
24_17_657,660,2395,1735
24_6_1170,1175,2395,1220
24_6_1193,1195,2395,1200
24_6_1203,1205,2395,1190
24_6_182,185,810,625
24_6_301,305,1715,1410
24_6_822,825,2395,1570
24_6_968,970,2395,1425
24_6_972,975,2395,1420
